,OSEBuildingID,BuildingType,PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,GFAParkingRate,GFABuildingsRate,LargestPropertyUseType,LargestGFARate,SecondLargestPropertyUseType,SecondLargestGFARate,ThirdLargestPropertyUseType,ThirdLargestGFARate,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,Latitude,Longitude,Description,Zone,Haversine(km),GFAPerBuilding,GFAPerFloor
340,473,NonResidential,Large Office,2009,1.0,5.0,283694.0,34.79,65.21,Office,59.27,Medical Office,5.94,No information,0.0,96.0,7878214.75,61.97,0.01763050000000277,-0.0034592000000088774,City Place II - SEDO at 500 Boren Ave. N.,LAKE UNION,1.9774980707572387,283694.0,56738.8
341,474,NonResidential,Warehouse,1914,1.0,5.0,127800.0,0.0,100.0,Non-Refrigerated Warehouse,100.0,No information,0.0,No information,0.0,53.5,2913820.0,33.575,0.019310500000003117,-0.0015792000000089956,08185-Lake Union at 700 Fairview Ave N,LAKE UNION,2.1504928600540842,127800.0,25560.0
342,475,NonResidential,Large Office,2002,1.0,5.0,579100.0,35.68,64.32,Office,64.32,No information,0.0,No information,0.0,69.5,30396998.0,629.47,0.021700500000001455,0.0011107999999921958,Arnold Building at 1100 Fairview Ave No.,LAKE UNION,2.4144248385764597,579100.0,115820.0
343,476,NonResidential,Large Office,2001,1.0,6.0,226592.0,41.93,58.07,Office,58.07,No information,0.0,No information,0.0,49.0,11880438.0,89.785,0.020010500000005038,0.000710799999993128,Yale at 823 Yale Ave N.,LAKE UNION,2.225706932193301,226592.0,37765.33
344,477,Campus,Other,1997,1.0,5.0,639930.0,16.25,83.75,Other,83.75,No information,0.0,No information,0.0,,133807652.0,4020.49,0.022390500000000202,0.0015707999999960975,Weintraub/Hutchinson/Thomas at 1100 Fairview Ave N,LAKE UNION,2.4924957909876833,639930.0,127986.0
345,480,NonResidential,Mixed Use Property,2003,1.0,5.0,160467.0,31.57,68.43,Other,45.12,Office,23.31,No information,0.0,,29245499.0,646.305,0.015080500000003383,-0.006769200000007913,307 Westlake - SEDO at 307 Westlake Ave. N.,LAKE UNION,1.7519668925385288,160467.0,32093.4
346,481,NonResidential,Large Office,2006,1.0,4.0,209816.0,35.11,64.89,Office,54.24,Fitness Center/Health Club/Gym,7.53,No information,0.0,96.0,7148783.25,125.23,0.01520049999999884,-0.005409200000002556,Westlake Terry - East SEDO at 321 Terry Ave. N.,LAKE UNION,1.738174981420657,209816.0,52454.0
347,482,NonResidential,Large Office,2006,1.0,6.0,303103.0,36.26,63.74,Office,58.93,Bank Branch,1.98,No information,0.0,95.5,8104822.75,72.51,0.015170500000003528,-0.006029200000000401,Westlake Terry - West SEDO at 320 Westlake Ave. N.,LAKE UNION,1.746377681812634,303103.0,50517.17
348,484,NonResidential,Mixed Use Property,1954,1.0,3.0,67380.0,0.0,100.0,Non-Refrigerated Warehouse,44.13,Office,25.78,Social/Meeting Hall,20.24,65.5,2705316.5,70.35,0.013930500000000734,-0.004769199999998364,Fred Rogers Building at 1020 John St.,LAKE UNION,1.5897222904815254,67380.0,22460.0
349,487,NonResidential,Laboratory,1963,1.0,4.0,103135.0,0.0,100.0,Laboratory,100.0,No information,0.0,No information,0.0,,24842794.0,600.0,0.018070500000000322,-0.008059200000005262,UW Medicine Research Phase I at 850 Republican St.,LAKE UNION,2.0981948482198773,103135.0,25783.75
350,488,NonResidential,Mixed Use Property,2008,1.0,5.0,436497.0,35.21,64.79,Laboratory,40.18,Office,20.37,No information,0.0,,43365528.0,908.915,0.017790500000003817,-0.008369200000004184,UW Medicine Research Phase II at 850 Republican Street,LAKE UNION,2.0753040070735724,436497.0,87299.4
351,489,NonResidential,Small- and Mid-Sized Office,1974,1.0,5.0,88062.0,23.65,76.35,Office,73.53,No information,0.0,No information,0.0,80.5,3366247.125,23.465,0.014980500000000063,-0.02764919999999904,200 West Thomas at 200 West Thomas St,MAGNOLIA / QUEEN ANNE,2.6590023161447007,88062.0,17612.4
352,490,NonResidential,Small- and Mid-Sized Office,1972,1.0,5.0,87178.0,23.42,76.58,Office,76.45,No information,0.0,No information,0.0,70.0,3663114.875,25.535,0.01642050000000239,-0.026389199999997004,North Tower at 100 West Harrison,MAGNOLIA / QUEEN ANNE,2.691966990486055,87178.0,17435.6
353,491,NonResidential,Small- and Mid-Sized Office,1970,1.0,5.0,87178.0,23.42,76.58,Office,76.56,No information,0.0,No information,0.0,86.0,3544000.875,24.705,0.016100500000000295,-0.02637920000000804,South Tower at 100 West Harrison,MAGNOLIA / QUEEN ANNE,2.6674094155344634,87178.0,17435.6
